Record_Type,Hospital_ID,Hospital_Name,Product_ID,Product_Name,Product_Category,Usage_Family,Movement_Date,Movement_Qty,Current_Stock,Expiry_Date,Consignment_Start_Date
inventory,H001,General Hospital North,DK-100,Calibration Kit 1,Diagnostic Kits,low,,,34,2026-05-02,2024-09-17
movement,H001,General Hospital North,DK-100,Calibration Kit 1,Diagnostic Kits,low,2025-01-08,1,,,2024-09-17
movement,H001,General Hospital North,DK-100,Calibration Kit 1,Diagnostic Kits,low,2025-01-13,1,,,2024-09-17
movement,H001,General Hospital North,DK-100,Calibration Kit 1,Diagnostic Kits,low,2025-05-24,1,,,2024-09-17
movement,H001,General Hospital North,DK-100,Calibration Kit 1,Diagnostic Kits,low,2025-02-03,1,,,2024-09-17
movement,H001,General Hospital North,DK-100,Calibration Kit 1,Diagnostic Kits,low,2025-08-19,1,,,2024-09-17
movement,H001,General Hospital North,DK-100,Calibration Kit 1,Diagnostic Kits,low,2024-11-30,1,,,2024-09-17
movement,H001,General Hospital North,DK-100,Calibration Kit 1,Diagnostic Kits,low,2025-10-21,1,,,2024-09-17
inventory,H001,General Hospital North,DK-101,Rapid Test Kit 2,Diagnostic Kits,high,,,14,2026-10-18,2025-04-17
movement,H001,General Hospital North,DK-101,Rapid Test Kit 2,Diagnostic Kits,high,2025-05-15,1,,,2025-04-17
movement,H001,General Hospital North,DK-101,Rapid Test Kit 2,Diagnostic Kits,high,2025-07-06,1,,,2025-04-17
movement,H001,General Hospital North,DK-101,Rapid Test Kit 2,Diagnostic Kits,high,2025-04-07,1,,,2025-04-17
movement,H001,General Hospital North,DK-101,Rapid Test Kit 2,Diagnostic Kits,high,2025-01-04,1,,,2025-04-17
movement,H001,General Hospital North,DK-101,Rapid Test Kit 2,Diagnostic Kits,high,2025-05-23,1,,,2025-04-17
movement,H001,General Hospital North,DK-101,Rapid Test Kit 2,Diagnostic Kits,high,2025-09-03,1,,,2025-04-17
movement,H001,General Hospital North,DK-101,Rapid Test Kit 2,Diagnostic Kits,high,2025-05-20,1,,,2025-04-17
movement,H001,General Hospital North,DK-101,Rapid Test Kit 2,Diagnostic Kits,high,2025-05-28,1,,,2025-04-17
movement,H001,General Hospital North,DK-101,Rapid Test Kit 2,Diagnostic Kits,high,2025-08-10,1,,,2025-04-17
movement,H001,General Hospital North,DK-101,Rapid Test Kit 2,Diagnostic Kits,high,2024-12-17,1,,,2025-04-17
movement,H001,General Hospital North,DK-101,Rapid Test Kit 2,Diagnostic Kits,high,2025-07-12,1,,,2025-04-17
movement,H001,General Hospital North,DK-101,Rapid Test Kit 2,Diagnostic Kits,high,2024-12-01,1,,,2025-04-17
movement,H001,General Hospital North,DK-101,Rapid Test Kit 2,Diagnostic Kits,high,2024-12-11,1,,,2025-04-17
movement,H001,General Hospital North,DK-101,Rapid Test Kit 2,Diagnostic Kits,high,2024-12-29,1,,,2025-04-17
movement,H001,General Hospital North,DK-101,Rapid Test Kit 2,Diagnostic Kits,high,2025-10-20,1,,,2025-04-17
movement,H001,General Hospital North,DK-101,Rapid Test Kit 2,Diagnostic Kits,high,2025-01-18,1,,,2025-04-17
movement,H001,General Hospital North,DK-101,Rapid Test Kit 2,Diagnostic Kits,high,2025-01-04,1,,,2025-04-17
movement,H001,General Hospital North,DK-101,Rapid Test Kit 2,Diagnostic Kits,high,2025-08-30,1,,,2025-04-17
movement,H001,General Hospital North,DK-101,Rapid Test Kit 2,Diagnostic Kits,high,2025-02-25,1,,,2025-04-17
movement,H001,General Hospital North,DK-101,Rapid Test Kit 2,Diagnostic Kits,high,2024-11-17,1,,,2025-04-17
