Hospital_ID,Hospital_Name,Product_ID,Product_Name,Product_Category,Usage_Family,Record_Type,Current_Stock,Expiry_Date,Consignment_Start_Date,Movement_Date,Movement_Qty
H001,City Hospital,P001,RNA Extraction Kit 1,Diagnostic Kits,high,inventory,45,2026-02-08,2025-01-14,,
H001,City Hospital,P002,Reagent Cartridge 2,Diagnostic Kits,medium,inventory,49,2026-11-15,2025-01-08,,
H001,City Hospital,P003,Sample Prep Kit 3,Diagnostic Kits,medium,inventory,12,2026-01-17,2025-06-09,,
H001,City Hospital,P004,Molecular Assay 4,Diagnostic Kits,low,inventory,25,2026-05-18,2025-01-03,,
H001,City Hospital,P005,Reagent Cartridge 5,Diagnostic Kits,high,inventory,31,2026-07-22,2025-06-02,,
H001,City Hospital,P006,Control Kit 6,Diagnostic Kits,high,inventory,47,2026-11-12,2025-07-25,,
H001,City Hospital,P007,Reagent Cartridge 7,Diagnostic Kits,high,inventory,18,2026-07-20,2025-04-09,,
H001,City Hospital,P008,Rapid Test 8,Diagnostic Kits,medium,inventory,3,2026-11-07,2025-07-11,,
H001,City Hospital,P009,RNA Extraction Kit 9,Diagnostic Kits,high,inventory,10,2026-06-26,2025-08-10,,
H001,City Hospital,P010,Sample Prep Kit 10,Diagnostic Kits,high,inventory,40,2026-05-20,2025-01-06,,
H001,City Hospital,P011,Control Kit 11,Diagnostic Kits,medium,inventory,3,2026-09-21,2025-01-22,,
H001,City Hospital,P012,Rapid Test 12,Diagnostic Kits,medium,inventory,4,2026-04-11,2025-06-25,,
H001,City Hospital,P013,RNA Extraction Kit 13,Diagnostic Kits,low,inventory,32,2026-03-23,2024-12-15,,
H001,City Hospital,P014,Molecular Assay 14,Diagnostic Kits,high,inventory,28,2026-07-04,2025-03-24,,
H001,City Hospital,P015,Rapid Test 15,Diagnostic Kits,high,inventory,13,2026-04-24,2025-01-07,,
H001,City Hospital,P016,Sample Prep Kit 16,Diagnostic Kits,medium,inventory,37,2026-02-22,2025-01-02,,
H001,City Hospital,P017,Control Kit 17,Diagnostic Kits,medium,inventory,41,2026-04-20,2025-01-31,,
H001,City Hospital,P018,Reagent Cartridge 18,Diagnostic Kits,medium,inventory,7,2026-06-06,2025-06-30,,
H001,City Hospital,P019,Sample Prep Kit 19,Diagnostic Kits,low,inventory,31,2026-07-27,2025-02-12,,
H001,City Hospital,P020,Calibration Kit 20,Diagnostic Kits,low,inventory,19,2026-06-14,2025-04-04,,
